Price,Close,High,Low,Open,Volume
Ticker,CUKX.L,CUKX.L,CUKX.L,CUKX.L,CUKX.L
Date,,,,,
2010-09-16,6484.0,6512.0,6512.0,6512.0,50
2010-09-17,6484.0,6484.0,6484.0,6484.0,0
2010-09-20,6549.0,6526.0,6526.0,6526.0,50
2010-09-21,6520.0,6743.0,6743.0,6743.0,1
2010-09-22,6520.0,6520.0,6520.0,6520.0,0
2010-09-23,6520.0,6520.0,6520.0,6520.0,0
2010-09-24,6520.0,6520.0,6520.0,6520.0,0
2010-09-27,6520.0,6520.0,6520.0,6520.0,0
2010-09-28,6520.0,6520.0,6520.0,6520.0,0
2010-09-29,6520.0,6520.0,6520.0,6520.0,0
2010-09-30,6520.0,6520.0,6520.0,6520.0,0
2010-10-01,6520.0,6520.0,6520.0,6520.0,0
2010-10-04,6520.0,6520.0,6520.0,6520.0,0
2010-10-05,6520.0,6520.0,6520.0,6520.0,0
2010-10-06,6520.0,6520.0,6520.0,6520.0,0
2010-10-07,6520.0,6520.0,6520.0,6520.0,0
2010-10-08,6520.0,6520.0,6520.0,6520.0,0
2010-10-11,6520.0,6520.0,6520.0,6520.0,0
2010-10-12,6593.0,6640.0,6640.0,6640.0,1037
2010-10-13,6725.0,6715.0,6715.0,6715.0,2330
2010-10-14,6725.0,6725.0,6725.0,6725.0,0
2010-10-15,6725.0,6725.0,6725.0,6725.0,0
2010-10-18,6724.0,6704.0,6704.0,6704.0,50950
2010-10-19,6673.0,6691.0,6691.0,6691.0,180
2010-10-20,6673.0,6673.0,6673.0,6673.0,0
2010-10-21,6673.0,6673.0,6673.0,6673.0,0
2010-10-22,6673.0,6673.0,6673.0,6673.0,0
2010-10-25,6673.0,6673.0,6673.0,6673.0,0
2010-10-26,6673.0,6673.0,6673.0,6673.0,0
2010-10-27,6673.0,6673.0,6673.0,6673.0,0
2010-10-28,6673.0,6673.0,6673.0,6673.0,0
2010-10-29,6673.0,6673.0,6673.0,6673.0,0
2010-11-01,6673.0,6673.0,6673.0,6673.0,0
2010-11-02,6673.0,6673.0,6673.0,6673.0,0
2010-11-03,6741.0,6750.0,6750.0,6750.0,3509
2010-11-04,6872.0,6875.0,6861.0,6861.0,5589
2010-11-05,6872.0,6872.0,6872.0,6872.0,0
2010-11-08,6872.0,6872.0,6872.0,6872.0,0
2010-11-09,6888.0,6906.0,6906.0,6906.0,6000
2010-11-10,6817.0,6862.0,6813.0,6862.0,2561
2010-11-11,6817.0,6817.0,6817.0,6817.0,0
2010-11-12,6817.0,6817.0,6817.0,6817.0,0
2010-11-15,6817.0,6817.0,6817.0,6817.0,0
2010-11-16,6817.0,6817.0,6817.0,6817.0,0
2010-11-17,6817.0,6817.0,6817.0,6817.0,0
2010-11-18,6775.0,6783.0,6783.0,6783.0,6000
2010-11-19,6775.0,6775.0,6775.0,6775.0,0
2010-11-22,6775.0,6775.0,6775.0,6775.0,0
2010-11-23,6775.0,6775.0,6775.0,6775.0,0
2010-11-24,6775.0,6775.0,6775.0,6775.0,0
2010-11-25,6775.0,6775.0,6775.0,6775.0,0
2010-11-26,6775.0,6775.0,6775.0,6775.0,0
2010-11-29,6775.0,6775.0,6775.0,6775.0,0
2010-11-30,6501.0,6567.0,6522.0,6567.0,7018
2010-12-01,6638.0,6583.0,6564.0,6564.0,1680
2010-12-02,6786.0,6701.0,6701.0,6701.0,150
2010-12-03,6755.0,6781.0,6781.0,6781.0,80
2010-12-06,6785.0,6797.0,6797.0,6797.0,2
2010-12-07,6785.0,6785.0,6785.0,6785.0,0
2010-12-08,6815.0,6832.0,6832.0,6832.0,100
2010-12-09,6815.0,6815.0,6815.0,6815.0,0
2010-12-10,6815.0,6815.0,6815.0,6815.0,0
2010-12-13,6815.0,6815.0,6815.0,6815.0,0
2010-12-14,6929.0,6907.0,6893.0,6893.0,7018
2010-12-15,6929.0,6929.0,6929.0,6929.0,0
2010-12-16,6929.0,6929.0,6929.0,6929.0,0
2010-12-17,6904.0,6919.0,6908.0,6919.0,9788
2010-12-20,6904.0,6904.0,6904.0,6904.0,0
2010-12-21,6999.0,7001.0,7001.0,7001.0,700
2010-12-22,7034.0,7036.0,7036.0,7036.0,108
2010-12-23,7034.0,7034.0,7034.0,7034.0,0
2010-12-24,7034.0,7034.0,7034.0,7034.0,0
2010-12-29,7034.0,7034.0,7034.0,7034.0,0
2010-12-30,7017.0,7022.0,7022.0,7022.0,3262
2010-12-31,6970.0,7006.0,7006.0,7006.0,32
2011-01-04,7074.0,7318.0,7093.0,7318.0,700
2011-01-05,7060.0,7061.0,7061.0,7061.0,290
2011-01-06,7075.0,7139.0,7108.0,7139.0,510
2011-01-07,7075.0,7075.0,7075.0,7075.0,0
2011-01-10,7006.0,7014.0,7008.0,7014.0,504
2011-01-11,7073.0,7069.0,7069.0,7069.0,450
2011-01-12,7073.0,7073.0,7073.0,7073.0,0
