time,open,high,low,close,volume
2002-10-14,833.86,844.39,828.37,841.44,1200300000
2002-10-15,847.62,881.27,847.62,881.27,1956000000
2002-10-16,875.37,875.37,856.28,860.02,1585000000
2002-10-17,862.22,885.35,862.22,879.19,1780390000
2002-10-18,879.05,886.68,866.58,884.38,1423100000
2002-10-21,884.39,900.69,873.06,899.72,1447000000
2002-10-22,896.45,896.45,882.4,890.16,1549200000
2002-10-23,889.59,896.14,873.82,896.14,1593900000
2002-10-24,896.95,902.94,879.0,882.5,1700570000
2002-10-25,882.48,897.71,877.03,897.65,1340400000
2002-10-28,900.82,907.44,886.15,890.21,1382600000
2002-10-29,889.88,890.64,867.91,882.15,1529700000
2002-10-30,883.13,895.28,879.19,890.69,1422300000
2002-10-31,891.1,898.83,879.75,885.76,1641300000
2002-11-01,884.33,903.42,877.71,900.96,1450400000
2002-11-04,905.57,924.58,905.45,908.35,1645900000
2002-11-05,906.79,915.83,904.91,915.4,1354100000
2002-11-06,916.51,925.66,905.0,923.76,1674000000
2002-11-07,923.19,923.19,898.68,902.69,1466900000
2002-11-08,902.2,910.11,891.62,894.73,1446500000
2002-11-11,894.09,894.09,874.63,876.18,1113000000
2002-11-12,877.39,894.3,877.39,882.95,1377100000
2002-11-13,882.06,892.51,872.05,882.53,1463400000
2002-11-14,887.29,904.27,887.29,904.27,1519000000
2002-11-15,904.27,910.21,895.35,909.74,1400100000
2002-11-18,909.84,915.91,899.48,900.36,1282600000
2002-11-19,900.36,905.45,893.09,896.75,1337400000
2002-11-20,897.1,915.01,894.93,914.15,1517300000
2002-11-21,914.4,935.13,914.4,933.79,2415100000
2002-11-22,932.83,937.28,928.41,930.55,1626800000
2002-11-25,930.55,937.15,923.31,932.89,1574000000
2002-11-26,929.95,929.95,912.1,913.3,1543600000
2002-11-27,917.34,940.41,917.34,938.98,1350300000
2002-11-29,939.83,941.82,935.58,936.31,643460000
2002-12-02,941.57,954.28,927.72,934.53,1612000000
2002-12-03,932.89,932.89,918.73,920.75,1488400000
2002-12-04,917.51,925.25,909.51,917.53,1588900000
2002-12-05,919.59,921.49,905.9,906.55,1250200000
2002-12-06,903.9,915.48,895.96,912.23,1241100000
2002-12-09,910.96,910.96,891.97,892.0,1320800000
2002-12-10,892.86,904.95,892.71,904.41,1286600000
2002-12-11,903.57,909.94,896.48,904.95,1285100000
2002-12-12,906.34,908.37,897.0,901.53,1255300000
2002-12-13,901.58,901.58,888.48,889.5,1330800000
2002-12-16,890.31,910.41,890.31,910.41,1271600000
2002-12-17,910.21,911.22,901.74,902.96,1251800000
2002-12-18,902.99,902.99,887.82,891.12,1446200000
2002-12-19,890.02,899.19,880.32,884.27,1385900000
2002-12-20,884.36,897.79,884.36,895.85,1782730000
2002-12-23,895.18,902.43,892.26,897.38,1112100000
2002-12-24,896.2,896.6,892.29,892.47,458310000
2002-12-26,893.28,903.89,887.48,889.66,721100000
2002-12-27,889.66,890.46,873.62,875.42,758400000
2002-12-30,875.44,882.1,870.23,879.39,1057800000
2002-12-31,879.08,881.93,869.45,879.82,1088500000
2003-01-02,881.44,909.03,881.44,909.03,1229200000
2003-01-03,908.49,911.25,903.07,908.6,1130800000
2003-01-06,909.04,931.77,909.04,929.03,1435900000
2003-01-07,929.57,930.81,919.93,922.93,1545200000
2003-01-08,922.93,922.93,908.32,909.93,1467600000
2003-01-09,911.09,928.31,911.09,927.58,1560300000
2003-01-10,927.51,932.89,917.66,927.57,1485400000
2003-01-13,929.29,935.05,922.05,926.27,1396300000
2003-01-14,926.15,931.66,921.72,931.66,1379400000
2003-01-15,932.17,932.59,916.7,918.22,1432100000
2003-01-16,918.41,926.03,911.98,914.69,1534600000
2003-01-17,914.6,914.6,899.02,901.78,1358200000
2003-01-21,901.79,906.0,887.62,887.62,1335200000
2003-01-22,887.6,889.74,877.64,878.38,1560800000
2003-01-23,880.81,890.25,876.89,887.34,1744550000
2003-01-24,886.28,886.28,859.71,861.4,1574800000
2003-01-27,858.71,863.95,844.25,847.48,1435900000
2003-01-28,848.34,860.76,848.34,858.55,1459100000
2003-01-29,857.78,868.72,845.86,864.36,1595400000
2003-01-30,864.84,865.48,843.74,844.57,1510300000
2003-01-31,842.6,858.33,840.34,855.7,1578530000
2003-02-03,855.7,864.64,855.7,860.32,1258500000
2003-02-04,858.02,858.02,840.19,848.18,1451600000
2003-02-05,849.96,861.63,842.11,843.59,1450800000
2003-02-06,843.0,844.23,833.25,838.15,1430900000
2003-02-07,839.29,845.73,826.7,829.69,1276800000
2003-02-10,830.08,837.16,823.53,835.97,1238200000
2003-02-11,836.53,843.02,825.09,829.21,1307000000
2003-02-12,828.96,832.12,818.49,818.68,1260500000
2003-02-13,818.75,821.25,806.29,817.37,1489300000
2003-02-14,818.32,834.89,815.03,834.89,1404600000
2003-02-18,836.43,852.87,836.43,851.17,1250800000
2003-02-19,851.17,851.17,838.79,845.13,1075600000
2003-02-20,845.13,849.37,836.56,837.1,1194100000
2003-02-21,837.81,852.28,831.48,848.17,1398200000
2003-02-24,847.29,847.29,832.16,832.58,1229200000
2003-02-25,830.54,839.55,818.54,838.57,1483700000
2003-02-26,837.73,840.1,826.68,827.55,1374400000
2003-02-27,829.24,842.19,827.71,837.28,1287800000
2003-02-28,837.7,847.0,837.31,841.15,1373300000
2003-03-03,841.96,852.34,832.74,834.81,1208900000
2003-03-04,834.87,835.43,821.96,821.99,1256600000
2003-03-05,821.99,829.87,819.0,829.85,1332700000
2003-03-06,828.82,829.56,819.85,822.1,1299200000
2003-03-07,819.82,829.55,811.23,828.89,1368500000
2003-03-10,826.12,826.12,806.57,807.48,1255000000
2003-03-11,808.34,814.25,800.3,800.73,1427700000
2003-03-12,799.89,804.15,788.9,804.15,1620000000
2003-03-13,806.48,832.02,806.48,831.9,1816300000
2003-03-14,831.89,841.39,828.26,833.26,1541900000
2003-03-17,832.09,862.76,827.17,862.69,1700420000
2003-03-18,862.78,866.94,857.36,866.45,1555100000
2003-03-19,865.85,874.99,861.21,874.02,1473400000
2003-03-20,872.8,879.6,859.01,875.84,1439100000
2003-03-21,879.12,895.89,877.65,895.89,1883710000
2003-03-24,890.91,890.91,862.02,864.23,1293000000
2003-03-25,864.89,879.87,862.59,874.74,1333400000
2003-03-26,874.54,875.8,866.47,869.95,1319700000
2003-03-27,868.56,874.15,858.09,868.52,1232900000
2003-03-28,866.71,869.88,860.83,863.48,1227000000
2003-03-31,863.18,863.18,843.68,848.12,1495500000
2003-04-01,849.05,861.28,847.85,858.48,1461600000
2003-04-02,858.48,884.57,858.48,880.9,1589800000
2003-04-03,882.07,885.89,876.12,876.45,1339500000
2003-04-04,877.06,882.73,874.23,878.85,1241200000
2003-04-07,884.48,904.89,879.78,879.93,1494000000
2003-04-08,880.01,883.11,874.68,878.29,1235400000
2003-04-09,878.65,887.35,865.72,865.99,1293700000
2003-04-10,866.61,871.78,862.76,871.58,1275300000
2003-04-11,871.58,883.34,865.92,868.3,1141600000
2003-04-14,868.51,885.26,868.51,885.23,1131000000
2003-04-15,884.78,891.27,881.85,890.81,1460200000
2003-04-16,890.81,896.77,877.93,879.91,1587600000
2003-04-17,879.2,893.83,879.2,893.58,1430600000
2003-04-21,893.66,898.01,888.17,892.01,1118700000
2003-04-22,890.63,911.74,886.7,911.37,1631200000
2003-04-23,911.5,919.74,909.89,919.02,1667200000
2003-04-24,917.21,917.21,906.69,911.43,1648100000
2003-04-25,910.57,911.13,897.52,898.81,1335800000
2003-04-28,899.19,918.15,899.19,914.84,1273000000
2003-04-29,914.84,924.24,911.1,917.84,1525600000
2003-04-30,917.34,922.01,911.7,916.92,1788510000
2003-05-01,916.8,919.68,902.83,916.3,1397500000
2003-05-02,915.08,930.56,912.35,930.08,1554300000
2003-05-05,930.57,933.88,924.55,926.55,1446300000
2003-05-06,926.38,939.61,926.38,934.39,1649600000
2003-05-07,932.75,937.22,926.41,929.62,1531900000
2003-05-08,929.62,929.62,919.72,920.27,1379600000
2003-05-09,921.85,933.77,921.85,933.41,1326100000
2003-05-12,933.05,946.84,929.3,945.11,1378800000
2003-05-13,945.11,947.51,938.91,942.3,1418100000
2003-05-14,943.18,947.29,935.24,939.28,1401800000
2003-05-15,940.47,948.23,938.79,946.67,1508700000
2003-05-16,946.5,948.65,938.6,944.3,1505500000
2003-05-19,942.46,942.46,920.23,920.77,1375700000
2003-05-20,921.62,925.34,912.05,919.73,1505300000
2003-05-21,919.01,923.85,914.91,923.42,1457800000
2003-05-22,923.53,935.3,922.54,931.87,1448500000
2003-05-23,931.68,935.2,927.42,933.22,1201000000
2003-05-27,932.16,952.76,927.33,951.48,1532000000
2003-05-28,951.78,959.39,950.12,953.22,1559000000
2003-05-29,953.22,962.08,946.23,949.64,1685800000
2003-05-30,950.7,965.38,950.7,963.59,1688800000
2003-06-02,965.31,979.11,965.31,967.0,1662500000
2003-06-03,967.07,973.02,964.47,971.56,1450200000
2003-06-04,971.69,987.85,970.72,986.24,1618700000
2003-06-05,983.94,990.14,978.13,990.14,1693100000
2003-06-06,990.14,1007.69,986.01,987.76,1837200000
2003-06-09,986.82,986.82,972.59,975.93,1307000000
2003-06-10,975.93,984.84,975.93,984.84,1275400000
2003-06-11,984.84,997.48,981.61,997.48,1520000000
2003-06-12,997.48,1002.74,991.27,998.51,1553100000
2003-06-13,999.02,1000.92,984.27,988.61,1271600000
2003-06-16,988.61,1010.86,988.61,1010.86,1345900000
2003-06-17,1011.35,1015.33,1007.04,1011.69,1479700000
2003-06-18,1011.14,1015.12,1004.61,1010.09,1488900000
2003-06-19,1010.05,1011.22,993.08,994.69,1530100000
2003-06-20,996.13,1002.09,993.36,995.73,1698000000
2003-06-23,995.25,995.25,977.4,981.65,1398100000
2003-06-24,980.68,987.84,979.08,983.44,1388300000
2003-06-25,983.58,991.64,974.86,975.31,1459200000
2003-06-26,976.42,986.53,973.8,985.81,1387400000
2003-06-27,985.82,988.88,974.03,976.22,1267800000
2003-06-30,977.35,983.61,973.6,974.5,1587200000
2003-07-01,973.83,983.26,962.1,982.31,1460200000
2003-07-02,983.34,993.78,983.34,993.75,1519300000
2003-07-03,992.55,995.0,983.34,985.7,775900000
2003-07-07,985.7,1005.56,985.7,1004.5,1429100000
2003-07-08,1004.44,1008.92,998.73,1007.84,1565700000
2003-07-09,1007.76,1010.43,998.17,1002.22,1618000000
2003-07-10,1000.24,1000.24,983.63,988.67,1465700000
2003-07-11,989.53,1000.86,989.53,998.13,1212700000
2003-07-14,1001.08,1015.41,1001.08,1003.86,1448900000
2003-07-15,1003.86,1009.61,996.67,1000.42,1518600000
2003-07-16,1002.64,1003.47,989.3,994.09,1662000000
2003-07-17,994.0,994.0,978.6,981.73,1661400000
2003-07-18,981.73,994.25,981.7,993.32,1365200000
2003-07-21,992.91,992.91,975.63,978.8,1254200000
2003-07-22,980.42,990.29,976.08,988.11,1439700000
2003-07-23,988.68,989.86,979.79,988.6,1362700000
2003-07-24,988.61,998.89,981.07,981.6,1559000000
2003-07-25,981.81,998.71,977.42,998.68,1397500000
2003-07-28,999.0,1000.68,993.59,996.52,1328600000
2003-07-29,996.52,998.64,984.15,989.28,1508900000
2003-07-30,989.5,992.62,985.96,987.65,1391900000
2003-07-31,990.12,1004.59,988.85,990.31,1608000000
2003-08-01,989.73,989.9,978.86,980.15,1390600000
2003-08-04,979.92,985.75,966.79,982.82,1318700000
2003-08-05,982.41,982.61,964.97,965.47,1351700000
2003-08-06,964.25,975.74,960.84,967.08,1491000000
2003-08-07,966.93,974.89,963.82,974.12,1389300000
2003-08-08,974.12,980.57,973.83,977.59,1086600000
