time,open,high,low,close,volume
2003-07-18,0.26,1.3,0.26,0.37,
2003-07-21,1.56,3.12,1.16,1.31,
2003-07-22,0.31,1.04,0.25,0.38,
2003-07-23,0.98,1.95,0.9,1.02,
2003-07-24,0.83,1.92,0.75,1.82,
2003-07-25,0.61,2.41,0.46,0.48,
2003-07-28,0.96,1.37,0.56,0.85,
2003-07-29,0.97,2.77,0.65,1.25,
2003-07-30,0.63,1.49,0.63,1.38,
2003-07-31,0.18,0.89,0.18,0.77,
2003-08-01,0.76,2.05,0.72,0.99,
2003-08-04,1.33,1.93,0.63,0.65,
2003-08-05,1.3,2.33,1.05,2.3,
2003-08-06,1.27,1.64,0.63,0.78,
2003-08-07,1.8,1.8,0.88,1.0,
2003-08-08,0.49,1.11,0.41,0.96,
2003-08-11,1.51,1.51,0.56,0.8,
2003-08-12,0.66,1.17,0.6,0.72,
2003-08-13,0.43,1.34,0.43,0.97,
2003-08-14,0.77,1.56,0.7,0.81,
2003-08-15,0.61,2.13,0.61,1.02,
2003-08-18,0.72,1.04,0.62,0.63,
2003-08-19,0.37,1.14,0.37,0.78,
2003-08-20,2.31,2.31,0.88,1.17,
2003-08-21,0.43,0.96,0.39,0.85,
2003-08-22,0.39,1.41,0.37,1.31,
2003-08-25,1.71,1.89,0.96,1.14,
2003-08-26,2.78,2.78,0.66,0.7,
2003-08-27,1.39,1.39,0.68,0.81,
2003-08-28,0.69,1.08,0.5,0.8,
2003-08-29,1.09,1.57,0.7,0.8,
2003-09-02,0.8,1.1,0.49,0.52,
2003-09-03,0.63,0.96,0.42,0.93,
2003-09-04,1.27,1.28,0.83,1.03,
2003-09-05,2.81,2.81,0.51,1.01,
2003-09-08,0.55,0.65,0.42,0.64,
2003-09-09,1.24,2.05,0.74,1.95,
2003-09-10,1.35,2.16,1.04,2.15,
2003-09-11,0.58,0.8,0.28,0.67,
2003-09-12,0.75,1.81,0.75,0.94,
2003-09-15,0.94,1.74,0.83,1.41,
2003-09-16,0.59,0.67,0.4,0.43,
2003-09-17,1.12,1.12,0.44,0.97,
2003-09-18,1.17,1.33,0.52,0.58,
2003-09-19,1.07,1.61,0.97,1.4,
2003-09-22,3.46,3.46,1.12,1.52,
2003-09-23,0.53,1.28,0.53,0.83,
2003-09-24,0.82,2.51,0.62,2.33,
2003-09-25,1.04,1.51,0.54,1.17,
2003-09-26,1.01,2.13,1.01,1.48,
2003-09-29,0.78,1.17,0.47,0.9,
2003-09-30,2.76,2.76,1.48,2.17,
2003-10-01,0.62,1.27,0.53,0.81,
2003-10-02,1.38,1.55,0.64,0.77,
2003-10-03,0.13,0.63,0.13,0.61,
2003-10-06,0.49,0.98,0.49,0.84,
2003-10-07,1.33,1.81,0.71,0.81,
